round_epochs,loss,categorical_accuracy,val_loss,val_categorical_accuracy,activation,batch_size,epochs,hidden_layers,optimizers
10,0.21412277221679688,0.9378868937492371,0.14679253101348877,0.9624999761581421,relu,36,10,2,Nadam
10,0.20067951083183289,0.9361011981964111,0.15344204008579254,0.963690459728241,relu,36,10,2,Adam
20,0.14417187869548798,0.9586607217788696,0.1644940972328186,0.9689285755157471,relu,36,20,0,Nadam
20,0.1491825431585312,0.9596428275108337,0.15139681100845337,0.9678571224212646,relu,36,20,0,Adam
20,0.17470796406269073,0.9492856860160828,0.14169004559516907,0.9680952429771423,relu,36,20,1,Nadam
20,0.1703406721353531,0.9457737803459167,0.16058732569217682,0.9665476083755493,relu,36,20,1,Adam
20,0.1777668297290802,0.9433630704879761,0.18360452353954315,0.9688095450401306,relu,36,20,2,Nadam
20,0.16779567301273346,0.9491666555404663,0.1666412204504013,0.9682142734527588,relu,36,20,2,Adam
10,0.21905365586280823,0.9352381229400635,0.15219081938266754,0.9620237946510315,relu,43,10,0,Nadam
10,0.21806961297988892,0.9312499761581421,0.1660851687192917,0.9622619152069092,relu,43,10,0,Adam
10,0.22222471237182617,0.9297916889190674,0.1533517688512802,0.9607142806053162,relu,43,10,1,Nadam
10,0.22717522084712982,0.9303273558616638,0.16473595798015594,0.9638095498085022,relu,43,10,1,Adam
10,0.21490098536014557,0.9333333373069763,0.15426136553287506,0.961904764175415,relu,43,10,2,Nadam
10,0.21926218271255493,0.9341071248054504,0.14990471303462982,0.9627380967140198,relu,43,10,2,Adam
20,0.1552727222442627,0.9543452262878418,0.1704953908920288,0.9657142758369446,relu,43,20,0,Nadam
20,0.16648933291435242,0.9522321224212646,0.16260211169719696,0.9682142734527588,relu,43,20,0,Adam
20,0.14278724789619446,0.9586904644966125,0.17415471374988556,0.9689285755157471,relu,43,20,1,Nadam
20,0.19586780667304993,0.935535728931427,0.19244001805782318,0.9657142758369446,relu,43,20,1,Adam
20,0.15303269028663635,0.9552678465843201,0.16480940580368042,0.9679762125015259,relu,43,20,2,Nadam
20,0.14595337212085724,0.9611904621124268,0.16223959624767303,0.9657142758369446,relu,43,20,2,Adam
10,0.15657168626785278,0.9610714316368103,0.14382977783679962,0.9657142758369446,elu,15,10,0,Nadam
10,0.15745048224925995,0.9602083563804626,0.16235406696796417,0.9623809456825256,elu,15,10,0,Adam
10,0.1522679477930069,0.9611309766769409,0.15452343225479126,0.9629762172698975,elu,15,10,1,Nadam
10,0.1586812138557434,0.9591369032859802,0.1529487520456314,0.9610714316368103,elu,15,10,1,Adam
10,0.16484355926513672,0.9554464221000671,0.15383367240428925,0.9609524011611938,elu,15,10,2,Nadam
10,0.1507141888141632,0.9611011743545532,0.14438727498054504,0.9616666436195374,elu,15,10,2,Adam
20,0.11509919166564941,0.9712797403335571,0.14733284711837769,0.9661904573440552,elu,15,20,0,Nadam
20,0.11763519048690796,0.970119059085846,0.1655893325805664,0.9677380919456482,elu,15,20,0,Adam
20,0.11333410441875458,0.9713392853736877,0.15522253513336182,0.9669047594070435,elu,15,20,1,Nadam
20,0.10482245683670044,0.9719642996788025,0.17163582146167755,0.9660714268684387,elu,15,20,1,Adam
20,0.10916225612163544,0.9730654954910278,0.1699209362268448,0.9651190638542175,elu,15,20,2,Nadam
20,0.12311989814043045,0.969345211982727,0.16080577671527863,0.9671428799629211,elu,15,20,2,Adam
10,0.16006407141685486,0.9579166769981384,0.1505551040172577,0.9632142782211304,elu,22,10,0,Nadam
