round_epochs,loss,categorical_accuracy,val_loss,val_categorical_accuracy,activation,batch_size,epochs,f_neuron,optimizers,s_neuron,t_neuron
10,0.20880955457687378,0.9436011910438538,0.15356361865997314,0.9583333134651184,relu,10,10,128,Adam,64,20
10,0.3083111345767975,0.9127976298332214,0.16835014522075653,0.9545238018035889,relu,10,10,128,Adam,64,10
10,0.6046423316001892,0.8140773773193359,0.2889661192893982,0.9398809671401978,relu,10,10,128,Adam,64,5
10,0.1916678249835968,0.946488082408905,0.1605827510356903,0.9555952548980713,relu,10,10,128,Adam,32,30
10,0.20949116349220276,0.9422321319580078,0.15896542370319366,0.9552381038665771,relu,10,10,128,Adam,32,20
10,0.30707016587257385,0.9186309576034546,0.1753007173538208,0.956428587436676,relu,10,10,128,Adam,32,10
10,0.6151891350746155,0.7985714077949524,0.27395448088645935,0.9426190257072449,relu,10,10,128,Adam,32,5
10,0.20645304024219513,0.9428571462631226,0.16562819480895996,0.9538094997406006,relu,10,10,128,Adam,16,30
10,0.20788714289665222,0.9437202215194702,0.15563006699085236,0.9579761624336243,relu,10,10,128,Adam,16,20
10,0.3124309480190277,0.9133630990982056,0.1864001601934433,0.949999988079071,relu,10,10,128,Adam,16,10
10,0.6216495633125305,0.7938392758369446,0.2829657793045044,0.9428571462631226,relu,10,10,128,Adam,16,5
10,0.22812829911708832,0.938869059085846,0.18462292850017548,0.9522619247436523,relu,10,10,128,Adam,8,30
10,0.255999356508255,0.9312499761581421,0.19869540631771088,0.9457142949104309,relu,10,10,128,Adam,8,20
10,0.35337790846824646,0.9039285778999329,0.22103284299373627,0.9424999952316284,relu,10,10,128,Adam,8,10
10,0.7075856328010559,0.7602083086967468,0.3382928669452667,0.9208333492279053,relu,10,10,128,Adam,8,5
10,0.158521369099617,0.9560118913650513,0.14334239065647125,0.9638095498085022,relu,10,10,256,Adam,64,30
10,0.15969915688037872,0.956250011920929,0.142822265625,0.9638095498085022,relu,10,10,256,Adam,64,20
10,0.24481479823589325,0.9267857074737549,0.15867047011852264,0.960357129573822,relu,10,10,256,Adam,64,10
10,0.5397472381591797,0.8434225916862488,0.2468302994966507,0.9532142877578735,relu,10,10,256,Adam,64,5
10,0.15167869627475739,0.9594643115997314,0.13673222064971924,0.9632142782211304,relu,10,10,256,Adam,32,30
10,0.15605515241622925,0.9573512077331543,0.15800689160823822,0.9623809456825256,relu,10,10,256,Adam,32,20
10,0.25146812200546265,0.9330952167510986,0.170212060213089,0.9580952525138855,relu,10,10,256,Adam,32,10
10,0.5682252049446106,0.8034523725509644,0.2410230040550232,0.9524999856948853,relu,10,10,256,Adam,32,5
10,0.15031714737415314,0.9587500095367432,0.1473713517189026,0.9621428847312927,relu,10,10,256,Adam,16,30
10,0.17207182943820953,0.9533035755157471,0.1568465530872345,0.9611904621124268,relu,10,10,256,Adam,16,20
10,0.2603493630886078,0.9260119199752808,0.16708317399024963,0.9569047689437866,relu,10,10,256,Adam,16,10
10,0.5692878365516663,0.8372619152069092,0.24652424454689026,0.9470238089561462,relu,10,10,256,Adam,16,5
10,0.19484269618988037,0.9481845498085022,0.17512449622154236,0.9558333158493042,relu,10,10,256,Adam,8,30
10,0.21423852443695068,0.9453571438789368,0.1815052032470703,0.9552381038665771,relu,10,10,256,Adam,8,20
10,0.34044480323791504,0.907797634601593,0.2052280455827713,0.9482142925262451,relu,10,10,256,Adam,8,10
10,0.6875578761100769,0.7858035564422607,0.3638018071651459,0.9329761862754822,relu,10,10,256,Adam,8,5
10,0.1290738433599472,0.9652976393699646,0.17022021114826202,0.9611904621124268,relu,10,10,512,Adam,64,30
10,0.1363067626953125,0.9629464149475098,0.14179788529872894,0.9655952453613281,relu,10,10,512,Adam,64,20
10,0.22629199922084808,0.9323214292526245,0.16282083094120026,0.9622619152069092,relu,10,10,512,Adam,64,10
10,0.5507320165634155,0.8013392686843872,0.2809014618396759,0.9496428370475769,relu,10,10,512,Adam,64,5
10,0.1287320852279663,0.9669345021247864,0.14666864275932312,0.9640476107597351,relu,10,10,512,Adam,32,30
10,0.15268383920192719,0.9579166769981384,0.1595599502325058,0.9646428823471069,relu,10,10,512,Adam,32,20
10,0.2344411164522171,0.9345238208770752,0.16429933905601501,0.9604762196540833,relu,10,10,512,Adam,32,10
10,0.5702958703041077,0.8436904549598694,0.31134486198425293,0.9434523582458496,relu,10,10,512,Adam,32,5
10,0.12850774824619293,0.9649404883384705,0.1341288685798645,0.9638095498085022,relu,10,10,512,Adam,16,30
10,0.14186951518058777,0.9629762172698975,0.14122356474399567,0.9639285802841187,relu,10,10,512,Adam,16,20
10,0.2274179607629776,0.9357737898826599,0.17215968668460846,0.9598809480667114,relu,10,10,512,Adam,16,10
10,0.553740382194519,0.8152381181716919,0.26239636540412903,0.9491666555404663,relu,10,10,512,Adam,16,5
10,0.15525393187999725,0.9579166769981384,0.16734683513641357,0.9584524035453796,relu,10,10,512,Adam,8,30
